day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;ASH_COATED_OSMIUM;9992;10;;;;;10009;15;;;;;10000.0;0.0
2;0;INTARIAN_PEPPER_ROOT;11778;10;11772;20;;;11791;6;11794;24;;;11783.5;0.0
2;100;ASH_COATED_OSMIUM;9993;10;;;;;10011;11;10011;20;;;10000.5;0.0
2;100;INTARIAN_PEPPER_ROOT;11776;10;11774;18;;;11791;12;;;;;11783.5;0.0
2;200;ASH_COATED_OSMIUM;9992;13;9989;23;;;10010;15;10011;25;;;10000.0;0.0
2;200;INTARIAN_PEPPER_ROOT;11776;10;11773;25;;;11792;9;11794;17;;;11783.5;0.0
2;300;ASH_COATED_OSMIUM;9991;15;9989;25;;;10008;10;10006;27;;;10000.0;0.0
2;300;INTARIAN_PEPPER_ROOT;11775;12;;;;;11790;12;11791;15;;;11783.0;0.0
2;400;ASH_COATED_OSMIUM;9994;11;9990;20;;;10008;12;;;;;9999.5;0.0
2;400;INTARIAN_PEPPER_ROOT;11777;8;11773;16;;;11789;16;11791;15;;;11783.0;0.0
2;500;ASH_COATED_OSMIUM;9990;11;9990;22;;;10008;29;10010;25;;;9999.5;0.0
2;500;INTARIAN_PEPPER_ROOT;11776;12;;;;;11785;16;11793;17;;;11783.0;0.0
2;600;ASH_COATED_OSMIUM;9991;13;;;;;10009;15;10011;25;;;9999.5;0.0
2;600;INTARIAN_PEPPER_ROOT;11778;12;11774;20;;;11789;23;;;;;11783.0;0.0
2;700;ASH_COATED_OSMIUM;9990;13;;;;;10008;10;;;;;9999.0;0.0
2;700;INTARIAN_PEPPER_ROOT;11775;9;11773;18;;;11789;22;11792;23;;;11783.0;0.0
2;800;ASH_COATED_OSMIUM;9991;11;9989;26;;;10007;13;10010;22;;;9999.0;0.0
2;800;INTARIAN_PEPPER_ROOT;11778;9;11773;22;;;11789;8;11792;22;;;11783.0;0.0
2;900;ASH_COATED_OSMIUM;9991;13;9994;28;;;10008;7;10011;30;;;9999.5;0.0
2;900;INTARIAN_PEPPER_ROOT;11778;9;;;;;11791;8;11793;18;;;11783.0;0.0
2;1000;ASH_COATED_OSMIUM;9991;11;9989;21;;;10010;11;10011;29;;;10000.0;0.0
2;1000;INTARIAN_PEPPER_ROOT;11776;12;;;;;11790;8;;;;;11783.0;0.0
2;1100;ASH_COATED_OSMIUM;9991;11;;;;;10010;12;10011;25;;;10000.5;0.0
2;1100;INTARIAN_PEPPER_ROOT;11778;10;;;;;11791;11;11793;24;;;11783.0;0.0
2;1200;ASH_COATED_OSMIUM;9993;25;;;;;10011;13;;;;;10001.0;0.0
2;1200;INTARIAN_PEPPER_ROOT;11780;9;;;;;11790;12;;;;;11783.0;0.0
2;1300;ASH_COATED_OSMIUM;9993;10;9989;25;;;10009;2;;;;;10000.5;0.0
2;1300;INTARIAN_PEPPER_ROOT;11776;15;11772;21;;;11788;10;11794;15;;;11782.5;0.0
2;1400;ASH_COATED_OSMIUM;9992;23;9990;28;;;10011;15;10013;20;;;10001.5;0.0
2;1400;INTARIAN_PEPPER_ROOT;11775;12;11774;18;;;11789;11;11792;25;;;11782.5;0.0
2;1500;ASH_COATED_OSMIUM;9994;12;;;;;10011;12;10012;30;;;10002.0;0.0
2;1500;INTARIAN_PEPPER_ROOT;11776;11;;;;;11789;11;;;;;11782.5;0.0
2;1600;ASH_COATED_OSMIUM;9998;10;9992;20;;;10011;14;10014;25;;;10002.5;0.0
2;1600;INTARIAN_PEPPER_ROOT;11777;12;;;;;11791;10;11790;21;;;11782.5;0.0
2;1700;ASH_COATED_OSMIUM;9994;14;9992;25;;;10010;12;10012;22;;;10002.0;0.0
2;1700;INTARIAN_PEPPER_ROOT;11777;11;11773;25;;;11790;21;;;;;11782.5;0.0
2;1800;ASH_COATED_OSMIUM;9993;12;9991;23;;;10010;12;;;;;10002.0;0.0
2;1800;INTARIAN_PEPPER_ROOT;11776;10;11773;18;;;11789;11;11792;22;;;11782.5;0.0
2;1900;ASH_COATED_OSMIUM;9994;12;9991;24;;;10007;13;10012;24;;;10001.5;0.0
2;1900;INTARIAN_PEPPER_ROOT;11777;11;11773;20;;;11789;19;;;;;11782.5;0.0
2;2000;ASH_COATED_OSMIUM;9994;13;9992;26;;;10010;11;10013;22;;;10001.5;0.0
2;2000;INTARIAN_PEPPER_ROOT;11778;25;11773;22;;;11789;8;11793;20;11797;16;11782.5;0.0
2;2100;ASH_COATED_OSMIUM;9994;10;9992;11;;;10010;12;;;;;10001.5;0.0
2;2100;INTARIAN_PEPPER_ROOT;11776;11;11773;24;;;11789;8;11791;18;;;11782.5;0.0
2;2200;ASH_COATED_OSMIUM;9992;21;9991;11;;;10011;10;10013;29;;;10001.5;0.0
2;2200;INTARIAN_PEPPER_ROOT;11773;16;11774;22;;;11790;8;;;;;11782.5;0.0
2;2300;ASH_COATED_OSMIUM;9998;14;9992;30;;;10010;13;;;;;10002.0;0.0
2;2300;INTARIAN_PEPPER_ROOT;11776;12;;;;;11789;9;11792;22;;;11782.5;0.0
2;2400;ASH_COATED_OSMIUM;9994;10;9991;29;;;10012;12;10012;22;;;10002.0;0.0
2;2400;INTARIAN_PEPPER_ROOT;11777;19;11771;15;;;11790;10;;;;;11782.0;0.0
2;2500;ASH_COATED_OSMIUM;9997;13;9993;28;;;10012;13;10013;25;;;10002.5;0.0
2;2500;INTARIAN_PEPPER_ROOT;11776;10;11773;18;;;11788;11;11792;9;;;11782.0;0.0
2;2600;ASH_COATED_OSMIUM;9993;11;;;;;10010;10;10008;12;;;10002.0;0.0
2;2600;INTARIAN_PEPPER_ROOT;11774;23;11773;20;;;11788;11;11791;19;;;11782.0;0.0
2;2700;ASH_COATED_OSMIUM;9993;27;9991;25;;;10009;14;10011;22;;;10001.0;0.0
2;2700;INTARIAN_PEPPER_ROOT;11775;12;11773;23;;;11789;10;11792;16;;;11782.0;0.0
2;2800;ASH_COATED_OSMIUM;9999;12;9992;28;;;10010;13;;;;;10001.5;0.0
2;2800;INTARIAN_PEPPER_ROOT;11776;11;11773;16;;;11788;11;11794;25;;;11782.0;0.0
2;2900;ASH_COATED_OSMIUM;9994;21;;;;;10011;13;10012;24;;;10001.5;0.0
2;2900;INTARIAN_PEPPER_ROOT;11775;8;;;;;11791;8;11792;17;;;11782.0;0.0
2;3000;ASH_COATED_OSMIUM;9992;25;;;;;10011;26;;;;;10001.5;0.0
2;3000;INTARIAN_PEPPER_ROOT;11776;11;11770;23;;;11789;9;11792;19;11793;22;11782.0;0.0
2;3100;ASH_COATED_OSMIUM;9994;12;;;;;10010;20;;;;;10001.5;0.0
2;3100;INTARIAN_PEPPER_ROOT;11776;11;11773;15;;;11789;11;;;;;11782.0;0.0
2;3200;ASH_COATED_OSMIUM;9993;10;9990;24;;;10009;13;;;10015;30;10001.0;0.0
2;3200;INTARIAN_PEPPER_ROOT;11776;8;;;;;11790;10;11792;24;;;11782.0;0.0
2;3300;ASH_COATED_OSMIUM;9993;10;9990;21;;;10010;6;10011;21;;;10000.5;0.0
2;3300;INTARIAN_PEPPER_ROOT;11774;9;11773;18;;;11788;11;11793;20;;;11782.0;0.0
2;3400;ASH_COATED_OSMIUM;9992;29;9990;29;;;10011;2;10012;24;;;10000.5;0.0
2;3400;INTARIAN_PEPPER_ROOT;11775;12;11773;19;;;11788;9;11790;18;;;11781.5;0.0
2;3500;ASH_COATED_OSMIUM;9993;11;;;;;10004;27;10011;28;;;10000.5;0.0
2;3500;INTARIAN_PEPPER_ROOT;11776;17;11772;22;;;11788;8;;;;;11781.5;0.0
